sheet,concentration_mM,t_min,t_max,mean_dydt0,std_dydt0,n_trials
01_14,0.5,0.01,60,-0.015935021403484552,0.0017242743369300356,6
01_14,0.5,0.02,20,-0.022102403190073023,0.00040214705258900807,6
01_14,0.5,0.02,30,-0.021059796211204063,0.00040861373894895855,6
01_14,0.5,0.02,40,-0.019408318022487228,0.0014809039042947534,6
01_14,0.5,0.02,50,-0.01707469185698778,0.0016758797321253236,6
01_14,0.5,0.02,60,-0.01576660576237152,0.0016320486683285018,6
01_14,0.5,0.05,20,-0.021850307262622177,0.00033998983908763934,6
01_14,0.5,0.05,30,-0.020789100815992664,0.0003709847324591942,6
01_14,0.5,0.05,40,-0.019097184526042598,0.001483875703815135,6
01_14,0.5,0.05,50,-0.016790961143473702,0.0016444519488778059,6
01_14,0.5,0.05,60,-0.01556185274087439,0.001595086954063015,6
01_14,0.5,0.1,20,-0.021537464177829452,0.00028608725280046933,6
01_14,0.5,0.1,30,-0.020422466183229255,0.00034275221218428765,6
01_14,0.5,0.1,40,-0.018651136911094292,0.0014792402948019033,6
01_14,0.5,0.1,50,-0.01637255324708212,0.0015748440121032443,6
01_14,0.5,0.1,60,-0.015246379010223918,0.0015120221661157067,6
01_14,0.5,0.2,20,-0.020897746510807697,0.0002647334723806426,6
01_14,0.5,0.2,30,-0.019688944220660955,0.0003430177861394285,6
01_14,0.5,0.2,40,-0.017787416385725577,0.001430589760923436,6
01_14,0.5,0.2,50,-0.015628503499088238,0.0014292212183064574,6
01_14,0.5,0.2,60,-0.014663612785845909,0.0013416926048572667,6
01_14,1.0,0.005,20,-0.03262066188735287,0.0016471952726103594,6
01_14,1.0,0.005,30,-0.031250675668832974,0.0013595873320155763,6
01_14,1.0,0.005,40,-0.03049844532622684,0.0013317603346907924,6
01_14,1.0,0.005,50,-0.029454821083547644,0.0016953819626416376,6
01_14,1.0,0.005,60,-0.025582670877946547,0.0049860836219238515,6
01_14,1.0,0.01,20,-0.03173737822930886,0.001289159551963952,6
01_14,1.0,0.01,30,-0.030537733849763934,0.00109202609975433,6
01_14,1.0,0.01,40,-0.02984650780519661,0.001091842021710533,6
01_14,1.0,0.01,50,-0.02884379066395326,0.0014457603052662796,6
01_14,1.0,0.01,60,-0.02506141528853385,0.004655357308012879,6
01_14,1.0,0.02,20,-0.030908340059033243,0.0010480926100094256,6
01_14,1.0,0.02,30,-0.029843828871583104,0.0009199151406172949,6
