sheet,concentration_mM,trial,y_start,y_end,amplitude,baseline_offset,A0,A1,k1,A2,k2,dydt0,k1_err,k2_err,residual_rms,residual_max,r2
12_13,0.5,2,0.1343835,0.060995850000000004,0.07338764999999998,0.060995850000000004,0.06028704314711139,0.024394376595280747,0.7135968579962816,0.056564215489773265,0.11451855235955939,-0.02388540256441337,0.002290353648974486,0.000174971703667552,0.000322331276329861,0.0018028437502763117,0.9996918443781637
12_13,0.5,3,0.1377495,0.0661629,0.0715866,0.0661629,0.06576187429036226,0.023649644199925976,0.7540904391709312,0.055275477812101736,0.12122334074296558,-0.024534648662505088,0.0024594747420963745,0.0001758848428567407,0.0003202892381857405,0.0016163329752176825,0.9996813284836729
12_13,1.0,0,0.123519,0.0536009,0.06991810000000001,0.0536009,0.053669558559212995,0.025552514139012,0.9176828787938595,0.053349699798256975,0.16182419886594143,-0.03208237716510075,0.0024513178202851637,0.0001733975729773119,0.00027602814916287784,0.0014345294197531666,0.9997639214511131
12_13,1.0,1,0.124476,0.0540212,0.07045480000000001,0.0540212,0.05421205126356299,0.025109896817381152,0.9596237253262946,0.054253052594465126,0.16538546721513234,-0.03306871917763693,0.002622930963037023,0.00017101533291703365,0.00028191293530488844,0.0011764563571554643,0.9997560202258617
12_13,1.0,2,0.127554,0.0589191,0.0686349,0.0589191,0.059153550225245634,0.025113615069803898,0.932595688285859,0.05237003382755643,0.16623438656747766,-0.03212654957921179,0.002792083488246374,0.00019700044376576412,0.0003024688521025854,0.0015369853323810578,0.9997062183265122
12_13,1.0,3,0.119597,0.0476487,0.07194829999999999,0.0476487,0.04774506794690706,0.024122974258275257,0.9514564457576261,0.0567338089680096,0.16407129876136511,-0.0322603490699418,0.0025967904345249493,0.00015652674045929556,0.0002702518455120452,0.001915710708497137,0.9997873786950949
01_14,0.25,0,0.12367800000000001,0.066918,0.056760000000000005,0.066918,0.06604664672801323,0.016336115244552574,0.6400855241458533,0.045690446152201726,0.1111988826232242,-0.015537237447497923,0.0027053164948475463,0.00019784965389383515,0.0002655556163754015,0.0016028623428828437,0.999656642737477
01_14,0.25,1,0.1201905,0.0599181,0.060272400000000004,0.0599181,0.05872024723032819,0.018118856313794108,0.591484165877432,0.04774792920809848,0.10182674521884472,-0.01557903283561803,0.0022958047646547733,0.00019428066430019628,0.0002676060964329085,0.0019640588569002637,0.9996849314272844
01_14,0.25,2,0.122335,0.06334980000000001,0.05898519999999999,0.06334980000000001,0.06144593884922848,0.020093225088609,0.5355823203191785,0.045009453492721625,0.09283214633568598,-0.014939900288778327,0.0024772332804885305,0.0002771751214535842,0.000344919261946655,0.002949768856190832,0.9994519952776353
01_14,0.25,3,0.119733,0.0587921,0.060940900000000006,0.0587921,0.05365637519307365,0.02997932209052906,0.36275126620472387,0.039611286518162814,0.058491407882416274,-0.013191956964779783,0.0014694797367635574,0.00044365714157696627,0.0004197116793493301,0.002585254330349368,0.9992177859507507
01_14,0.25,4,0.12077550000000001,0.061688099999999996,0.05908740000000001,0.061688099999999996,0.060530448241496254,0.017671485951860137,0.6006808301604846,0.04701223451566959,0.10284635092142504,-0.015449959620331574,0.002296762678984907,0.00018891537562339733,0.0002588288211671701,0.0019127708200152027,0.9996946407630751
01_14,0.25,5,0.124804,0.06746895,0.05733505,0.06746895,0.06614923748230689,0.02081291262175761,0.5035608638008289,0.041811275994285024,0.09505756154917945,-0.014455046199299916,0.00255382747639293,0.0003468757390929336,0.000364212113562054,0.0022108870009109882,0.9993530146761657
01_14,0.5,0,0.01480755,-0.0468708,0.06167834999999999,-0.0468708,-0.04733228492490504,0.020407859890004206,0.6690085527111351,0.047205762652244895,0.1255812418268018,-0.019581191104193516,0.0028396500672114894,0.00024636603534105477,0.0003200695193401519,0.00187716103594536,0.9995841406575864
01_14,0.5,1,0.0183731,-0.04290915,0.061282249999999996,-0.04290915,-0.04357551791916813,0.022086276323847076,0.651656260832294,0.04550338006415005,0.12141226567492776,-0.019917328714362807,0.0031911020457134646,0.0003182534516807338,0.0003992175176884466,0.0026746650008571543,0.9993428926287984
01_14,0.5,2,0.0144198,-0.0467517,0.061171500000000004,-0.0467517,-0.04694209081129045,0.018464795271153668,0.7528287973034168,0.048545927134611,0.13478307704688075,-0.020443999053732967,0.0027053905864929018,0.0001804989052764888,0.00025894017600399,0.0010946004580957049,0.9997242575521122
01_14,0.5,3,0.017862,-0.0447973,0.0626593,-0.0447973,-0.04836683751440053,0.03540780518157605,0.4011401742296481,0.03509891055500765,0.06448391049065513,-0.016466808146175477,0.0016371268051416298,0.0005844479641130762,0.0005221823993718358,0.0029870922867365514,0.9988628825567388
01_14,0.5,4,0.01837315,-0.0408369,0.05921005,-0.0408369,-0.04101586995448877,0.019111842747091604,0.7059988531444514,0.04575542975084642,0.13570707053593334,-0.019702274393523834,0.0027890489511267443,0.00022437513540101006,0.00027799062525387427,0.001500550371689783,0.9996631239230422
01_14,0.5,5,0.0176066,-0.0420821,0.0596887,-0.0420821,-0.04230037193526392,0.019279040259643766,0.729739357715766,0.04634759590017241,0.1352741635184278,-0.020338306722934775,0.002745142795343769,0.00020964017859348864,0.00027530342789685707,0.0014699011471506797,0.9996742921268637
01_14,1.0,0,0.111157,0.052338,0.058819,0.052338,0.0526238450219916,0.020675004452004608,0.9542407461496137,0.04576834495871311,0.19306135166301155,-0.028565030216035597,0.0029685738067499984,0.00021483957695721384,0.00023888436005627055,0.001367651241265172,0.9997577911709478
01_14,1.0,1,0.115064,0.05790855,0.05715545,0.05790855,0.05811860025625814,0.020478329570665192,0.9816040283219857,0.04455321379743407,0.19878927342154765,-0.028958311799256984,0.0029539853625883744,0.00021464381972920282,0.00022878840521723453,0.001138307042259562,0.9997663902064384
01_14,1.0,2,0.113463,0.05572245000000001,0.05774054999999999,0.05572245000000001,0.05606416200017673,0.02180333275105739,0.9106019037390813,0.0434930127590714,0.1878074320106449,-0.028022467347656933,0.003269193199467306,0.0002735526831806343,0.00028627003166478465,0.0014482699335850169,0.9996368810270184
01_14,1.0,3,0.1095895,0.0501992,0.05939030000000001,0.0501992,0.05048308619177236,0.020273791096973613,1.052125695830676,0.04739840473207589,0.19801401351155126,-0.030716124920072377,0.0034083647907127575,0.00020887702994541542,0.00025564550217455675,0.002683634220234196,0.9997290299386125
